Recipient	DC_A6_georgia_EvansCo_FtStewart_sorted	DC_AUHT-5492_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5495_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5505_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5511_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT-5514_florida_IndianRiverCo_Fellsmere_sorted	DC_AUHT-5517_florida_MartinCo_IndianTown_sorted	DC_AUHT-5520_florida_HighlandsCo_LakePlacid_sorted	DC_AUHT-5522_florida_HighlandsCo_LakeJuneinWinter_sorted	DC_AUHT-5523_florida_HighlandsCo_LakeWalesRidge_sorted	DC_AUHT-5540_florida_HighlandsCo_LakeIstokpoga_sorted	DC_AUHT-5566_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT-5579_florida_CaptivaCo_CaptivaIsland_sorted	DC_AUHT-5581_florida_HighlandsCo_LakeWalesRidgeOrangeBlossom_sorted	DC_AUHT-5585_florida_HighlandsCo_LakeWalesRidgeLPScrub_sorted	DC_AUHT-5588_florida_HighlandsCo_Venus_sorted	DC_AUHT-5593_florida_HighlandsCo_PlacidLakes_sorted	DC_AUHT-5598_florida_HighlandsCo_LakeJuneinWinter_sorted	DC_AUHT-5601_florida_Archbold_sorted	DC_AUHT-5603_florida_HighlandsCo_SebringGrassyCreek_sorted	DC_AUHT-5606_florida_HighlandsCo_Venus_sorted	DC_AUHT-5613_florida_HighlandsCo_HighlandsHammock_sorted	DC_AUHT-5615_florida_Montura_OkaloacoocheeSlough_sorted	DC_AUHT-5617_florida_CaptivaCo_CaptivaIsland_sorted	DC_AUHT-5626_florida_MiamiDadeCo_NearTurkeyPoint_sorted	DC_AUHT-5635_florida_HighlandsCo_Archbold_sorted	DC_AUHT-5636_florida_HighlandsCo_Venus_sorted	DC_AUHT-5637_florida_HighlandsCo_Venus_sorted	DC_AUHT-5646_georgia_Hahira_sorted	DC_AUHT-5651_georgia_EvansCo_Daisy_sorted	DC_AUHT-5654_georgia_EvansCo_Daisy_sorted	DC_AUHT-5655_georgia_EvansCo_Daisy_sorted	DC_AUHT-5662_georgia_BryanCo_sorted	DC_AUHT-5665_georgia_EvansCo_Daisy_sorted	DC_AUHT-5666_georgia_BryanCo_sorted	DC_AUHT-5667_georgia_BryanCo_Southward_sorted	DC_AUHT-5668_georgia_EvansCo_Daisy_sorted	DC_AUHT-5670_georgia_WayneCo_Akin_sorted	DC_AUHT-5675_georgia_LongCo_Tibet_sorted	DC_AUHT-5681_georgia_WheelerCo_Scotland_sorted	DC_AUHT-5683_georgia_EvansCo_Daisy_sorted	DC_AUHT-5687_georgia_CoffeeCo_SappsStill_sorted	DC_AUHT-5695_georgia_CoffeeCo_SappsStill_sorted	DC_AUHT-5698_georgia_CoffeeCo_Pridgen_sorted	DC_AUHT-5706_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5713_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5716_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5725_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5727_georgia_TelfairCo_McRaeHelena_sorted	DC_AUHT-5729_georgia_TelfairCo_Snipesville_sorted	DC_AUHT-5733_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5734_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5735_georgia_BryanCo_Southward_sorted	DC_AUHT-5744_georgia_WheelerCo_LumberCity_sorted	DC_AUHT-5765_georgia_BryanCo_Southward_sorted	DC_AUHT-5793_georgia_TelfairCo_Snipesville_sorted	DC_AUHT-5803_georgia_CoffeeCo_Pridgen_sorted	DC_AUHT-5808_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5827_georgia_TelfairCo_Jacksonville_sorted	DC_AUHT-5830_georgia_TelfairCo_Snipesville_sorted	DC_AUHT-5871_georgia_EvansCo_Daisy_sorted	DC_AUHT-5876_georgia_FortStewart_Willie_sorted	DC_B4_georgia_BryanCo_FtStewart_sorted	DC_B8_georgia_BryanCo_FtStewart_sorted	DC_C2_georgia_TelfairCo_sorted	DC_D2_georgia_Conecuh_sorted	DC_D9_georgia_Conecuh_sorted	DC_E2_georgia_GenCoffeeStatePark_sorted	DC_F6_georgia_BryanCo_FtStewart_sorted	DC_F9_georgia_BryanCo_FtStewart_sorted	DC_FEMALET_unknown_unknown_sorted	DC_FEMALEV_unknown_unknown_sorted	DC_G4_georgia_EvansCo_Canoochee_sorted	DC_G9_georgia_EvansCo_SandsSiteCanoochee_sorted	DC_H4_georgia_EvansCo_WarnellCanoochee_sorted	DC_H5_georgia_EvansCo_WarnellCanoochee_sorted	DC_I2_georgia_BroxtonRocksTNC_sorted	DC_K3_georgia_WheelerCo_LittleOcmulgee_sorted	DC_K5_georgia_WheelerCo_LittleOcmulgee_sorted	DC_L2_georgia_AlapahaRiverRanch_sorted	DC_MB2702_UF123385_Florida_Alachua_sorted	DC_MB2705_UF150061_Florida_Citrus_sorted	DC_MB2706_UF150062_Florida_Marion_sorted	DC_MB2709_UF152860_Florida_Citrus_sorted	DC_MB2710_UF153475_Florida_Putnam_sorted	DC_MB2717_UF157531_Florida_Gilchrist_sorted	DC_MB2719_UF165218_Florida_Citrus_sorted	DC_MB2723_076321591_Gerogia_OISPNorth_sorted	DC_MB2724_605806003_Georgia_GaskinsProperty_sorted	DC_MB2803_605804613_MoodyForest_sorted	DC_MB2805_604806826_FortStewart_sorted	DC_MB2810_605359320_CanoocheeSandhillsWMA_sorted	DC_MB2813_605056639_OISPNorth_sorted	DC_MB2815_603639016_GaskinsProperty_sorted	DC_MB2818_066265616_OISPNorth_sorted	DC_MB2819_606112553_GaskinsProperty_sorted	DC_MB2828_605799017_GaskinsProperty_sorted	DC_MB2833_605066603_ReddingProperty_sorted	DC_MB2836_076308773_OISPNorth_sorted	DC_MB2838_605791060_BroxtonRocksEast_sorted	DC_MB2844_605803125_GaskinsProperty_sorted	DC_MB2846_603633631_Langdale_sorted	DC_MB2847_845338285_FortStewart_sorted	DC_MB2848_605790607_BroxtonRocksEast_sorted	DC_MB2852_603639823_Langdale_sorted	DC_MB2861_607338834_OISPNorth_sorted	DC_N4_georgia_WayneCo_LittleSatillaWMA_sorted	DC_O3_georgia_WheelerCo_LittleOcmulgee_sorted	DC_O5_georgia_WheelerCo_LittleOcmulgee_sorted	DC_OCIC.15_Fuller_PetTrade_sorted	DC_OCIC.246_X1_georgia_JeffDavisCo_FlatTubWMA_sorted	DC_OCIC.73_V4_georgia_AtkinsonCo_DeathAgeCem_sorted	DC_P5_georgia_TelfairCo_AlligoodTract_sorted	DC_Q4_georgia_BryanCo_FtStewart_sorted	DC_S1_georgia_LongCo_FIAFRC_sorted	DC_S4_georgia_LongCo_FIAFRC_sorted
DC_AUHT-5579_florida_CaptivaCo_CaptivaIsland_sorted	3	2	3	5	3	4	2	3	4	1	1	2	0	2	1	3	5	5	3	2	2	0	4	2	2	0	2	4	2	3	1	2	1	2	2	1	2	2	2	2	2	3	5	4	2	2	1	1	3	0	4	4	1	2	2	2	5	1	2	4	4	1	2	2	2	3	1	2	0	2	2	3	0	2	2	1	1	1	1	2	2	3	4	4	5	2	3	2	3	3	1	0	3	0	6	2	1	1	2	4	2	3	3	4	5	1	2	4	4	4	1	2	5	1	0	1
DC_AUHT-5581_florida_HighlandsCo_LakeWalesRidgeOrangeBlossom_sorted	4	4	5	6	3	6	3	4	5	2	2	4	2	0	3	5	6	6	4	4	4	2	4	3	3	2	4	5	3	5	2	3	3	3	3	3	3	4	4	4	3	4	5	5	3	4	3	3	4	2	5	6	2	3	3	3	5	2	3	5	6	3	3	3	4	5	3	4	2	3	4	4	2	4	4	3	3	3	3	4	3	4	5	4	6	4	4	3	5	4	2	2	5	2	7	4	3	3	4	5	3	5	5	6	6	3	4	6	5	6	2	3	6	3	2	3
DC_AUHT-5585_florida_HighlandsCo_LakeWalesRidgeLPScrub_sorted	4	3	4	5	4	4	3	4	5	2	2	3	1	3	0	4	6	6	4	2	3	1	4	3	3	1	3	5	3	4	2	3	2	3	3	2	3	3	3	3	3	4	6	5	3	3	1	2	4	1	5	5	2	2	3	3	6	2	3	5	5	2	3	3	2	3	2	3	1	3	3	4	1	3	3	2	2	2	2	3	3	4	5	5	5	3	3	3	3	4	2	1	4	1	7	3	2	2	3	4	3	3	4	5	5	2	3	4	5	5	2	3	6	2	1	1
DC_AUHT-5588_florida_HighlandsCo_Venus_sorted	6	4	5	7	5	6	4	6	5	4	4	4	3	5	4	0	7	7	4	4	4	3	7	4	5	3	3	6	5	5	4	5	4	5	5	4	5	4	4	4	5	4	6	6	5	5	4	3	5	3	5	4	4	5	5	4	6	4	4	6	7	4	5	5	4	5	4	4	3	5	5	4	3	5	5	4	3	4	4	5	4	5	5	7	6	4	6	5	4	6	4	3	5	3	7	4	4	3	4	6	4	6	5	5	7	4	4	6	6	4	4	5	7	4	3	4
DC_AUHT-5593_florida_HighlandsCo_PlacidLakes_sorted	5	5	6	6	7	7	6	5	6	5	5	6	5	6	6	7	0	7	6	7	6	5	7	7	5	5	6	5	5	6	5	5	5	5	6	6	5	6	5	6	5	7	7	6	6	5	6	6	6	5	8	7	5	6	6	5	8	6	6	6	6	6	6	6	6	6	6	7	5	5	6	7	5	6	6	5	5	6	6	6	5	6	6	7	7	5	7	6	7	7	5	5	6	5	8	7	5	5	6	7	6	6	6	6	7	6	7	7	6	7	5	6	7	5	5	6
DC_AUHT-5598_florida_HighlandsCo_LakeJuneinWinter_sorted	6	6	6	8	6	8	6	6	8	6	6	7	5	6	6	7	7	0	7	7	5	5	7	6	6	5	6	7	6	6	6	6	5	6	7	6	6	6	6	7	6	7	8	6	5	5	6	5	6	5	8	7	6	7	7	7	9	5	7	7	6	6	7	7	7	7	6	7	5	6	6	7	5	6	6	5	6	6	6	6	7	7	8	7	9	6	6	5	8	8	6	5	7	5	8	6	5	6	5	7	7	6	7	7	8	6	6	8	8	7	6	7	8	5	5	6
DC_AUHT-5601_florida_Archbold_sorted	5	4	6	6	4	6	4	5	5	3	3	4	3	4	4	4	6	7	0	5	4	3	6	5	4	3	3	5	4	6	3	4	4	4	4	4	4	5	4	4	4	5	6	6	5	5	4	3	5	3	5	5	3	4	4	3	6	4	4	6	7	4	4	4	4	5	4	5	3	4	5	4	3	5	5	4	3	4	4	5	3	5	5	6	6	4	6	5	5	5	3	3	5	3	8	4	4	3	4	5	4	6	5	6	7	4	4	6	5	5	3	4	7	4	3	4
DC_AUHT-5603_florida_HighlandsCo_SebringGrassyCreek_sorted	5	4	4	6	5	5	4	5	5	3	3	4	2	4	2	4	7	7	5	0	4	2	5	3	4	2	4	6	4	4	3	4	3	4	4	3	4	3	4	4	4	4	6	6	4	4	2	3	5	2	5	5	3	3	4	4	6	3	3	5	6	3	4	4	3	4	3	3	2	4	4	4	2	4	4	3	3	3	3	4	4	4	5	6	5	4	4	4	3	5	3	2	5	2	7	4	3	3	4	5	3	4	5	5	5	3	4	5	6	5	3	4	6	3	2	2
DC_AUHT-5606_florida_HighlandsCo_Venus_sorted	4	3	4	7	4	5	4	4	6	3	3	4	2	4	3	4	6	5	4	4	0	2	6	4	4	2	3	5	3	4	3	4	2	4	4	3	4	4	4	4	4	5	7	5	4	4	3	2	4	2	5	5	3	4	4	4	7	3	4	5	5	3	4	4	4	5	3	4	2	4	4	4	2	4	3	2	3	3	3	4	4	5	6	6	6	4	5	4	5	5	3	2	5	2	8	3	3	3	3	5	4	4	5	6	6	3	3	6	6	4	3	4	6	2	2	3
DC_AUHT-5613_florida_HighlandsCo_HighlandsHammock_sorted	3	2	3	5	3	4	2	3	4	1	1	2	0	2	1	3	5	5	3	2	2	0	4	2	2	0	2	4	2	3	1	2	1	2	2	1	2	2	2	2	2	3	5	4	2	2	1	1	3	0	4	4	1	2	2	2	5	1	2	4	4	1	2	2	2	3	1	2	0	2	2	3	0	2	2	1	1	1	1	2	2	3	4	4	5	2	3	2	3	3	1	0	3	0	6	2	1	1	2	4	2	3	3	4	5	1	2	4	4	4	1	2	5	1	0	1
DC_AUHT-5615_florida_Montura_OkaloacoocheeSlough_sorted	6	6	7	6	5	7	5	5	6	4	4	6	4	4	4	7	7	7	6	5	6	4	0	5	5	4	6	6	5	7	4	5	5	5	5	5	5	6	5	6	5	6	7	7	5	5	4	5	6	4	7	8	4	4	5	5	7	4	5	6	7	5	5	5	5	6	5	6	4	4	6	6	4	6	6	5	5	5	5	5	5	6	7	6	7	6	5	4	6	6	4	4	7	4	8	6	4	5	5	6	5	6	7	7	7	5	6	7	7	8	4	5	7	5	4	4
DC_AUHT-5617_florida_CaptivaCo_CaptivaIsland_sorted	5	4	4	7	4	6	3	5	5	3	3	4	2	3	3	4	7	6	5	3	4	2	5	0	4	2	4	6	4	4	3	4	3	4	4	3	4	3	4	4	4	3	5	5	3	4	3	3	4	2	5	5	3	4	4	4	5	2	3	5	6	3	4	4	4	5	3	3	2	4	4	4	2	4	4	3	3	3	3	4	4	4	5	5	6	4	4	3	4	5	3	2	5	2	6	4	3	3	4	6	3	5	5	5	6	3	4	6	6	5	3	4	6	3	2	3
DC_AUHT-5626_florida_MiamiDadeCo_NearTurkeyPoint_sorted	3	4	4	5	4	6	4	4	5	2	2	4	2	3	3	5	5	6	4	4	4	2	5	4	0	2	4	5	3	4	2	2	3	2	3	3	2	3	4	4	2	5	5	5	3	3	3	3	5	2	5	5	2	3	3	3	6	3	3	5	5	3	3	3	4	4	3	4	2	3	3	4	2	3	4	3	3	3	3	4	3	3	4	4	6	3	4	4	5	4	2	2	4	2	7	4	3	3	4	4	3	4	4	5	5	3	4	5	4	6	2	3	6	3	2	3
DC_AUHT-5635_florida_HighlandsCo_Archbold_sorted	3	2	3	5	3	4	2	3	4	1	1	2	0	2	1	3	5	5	3	2	2	0	4	2	2	0	2	4	2	3	1	2	1	2	2	1	2	2	2	2	2	3	5	4	2	2	1	1	3	0	4	4	1	2	2	2	5	1	2	4	4	1	2	2	2	3	1	2	0	2	2	3	0	2	2	1	1	1	1	2	2	3	4	4	5	2	3	2	3	3	1	0	3	0	6	2	1	1	2	4	2	3	3	4	5	1	2	4	4	4	1	2	5	1	0	1
DC_AUHT-5636_florida_HighlandsCo_Venus_sorted	5	3	5	6	4	5	3	5	5	3	3	3	2	4	3	3	6	6	3	4	3	2	6	4	4	2	0	5	4	5	3	4	3	4	4	3	4	4	3	3	4	4	6	5	4	4	3	2	4	2	5	4	3	4	4	3	6	3	4	6	6	3	4	4	3	4	3	4	2	4	4	4	2	4	4	3	2	3	3	4	3	5	5	6	6	3	5	4	4	5	3	2	4	2	7	3	3	2	3	5	4	5	4	5	7	3	3	5	5	4	3	4	7	3	2	3
